movie,critics,boxoffice,rd,theaters,sentiments,user,counts,class
the-bfg,66,55483770,07/01/2016,3392,0.611110593677,6.0,0.0180900088244,0
julieta,73,1490948,12/21/2016,63,1.51421490137,6.9,1.0875,0
hush-2016,67,NULL,04/08/2016,NULL,0.585308060215,7.3,0.183580229821,0
ocean-waves,73,83962,12/28/2016,17,1.11836069071,7.5,0.55770609319,0
lion,69,51738905,11/25/2016,1802,0.982163647735,7.9,1.11092568797,1
rams,82,149250,02/03/2016,10,1.69234513008,7.6,0.868483318874,0
as-i-open-my-eyes,74,30989,09/09/2016,5,0.178812510042,NULL,0.232258064516,0
into-the-inferno,76,NULL,10/28/2016,NULL,0.705245705381,7.5,0.0483870967742,0
the-eagle-huntress,72,3169351,11/02/2016,122,1.14848858511,6.7,0.81206171108,0
francofonia,71,307040,04/01/2016,25,0.155315220471,5.2,0.18801843318,0
dont-call-me-son,77,11678,11/02/2016,2,0.0,10.0,0.0215053763441,0
t-rex,69,NULL,06/24/2016,NULL,1.09435145238,NULL,0.707625216443,0
the-flight-fantastic,66,NULL,04/01/2016,NULL,0,NULL,0,0
the-lobster,82,9077245,05/13/2016,560,1.17100841521,6.9,0.173413314317,0
zero-days,77,109649,07/08/2016,20,1.47888417902,7.4,0.0806864120122,0
harry-benson-shoot-first,74,18092,12/09/2016,6,0.606135173437,NULL,0.0645161290323,0
presenting-princess-shaw,77,60197,05/27/2016,12,0.665466903556,NULL,0.0375541646606,0
fire-at-sea,87,120933,10/21/2016,7,0.311862946207,6.9,0.164992067689,0
time-to-choose,75,29233,06/03/2016,9,0.360544731554,NULL,0.104032258065,0
jia-zhangke-a-guy-from-fenyang,70,NULL,05/27/2016,NULL,0,5.6,0,0
everybody-wants-some,83,3400278,03/30/2016,454,1.11581538876,7.0,0.0203157172272,0
little-men,86,702537,08/05/2016,61,0.58251024153,7.8,0.105831876688,0
the-vessel,67,NULL,09/16/2016,NULL,0.579953501661,NULL,0.054698457223,0
de-palma,83,165237,06/10/2016,19,0.605106652829,7.7,0.0536338904003,0
olympic-pride-american-prejudice,73,NULL,08/05/2016,NULL,0.0,NULL,0.0,0
the-family-fang,67,262921,04/29/2016,52,0.653290464083,6.8,0.0433317284545,0
germans-jews,73,38100,06/10/2016,2,0,NULL,0,0
richard-linklater-dream-is-destiny,73,NULL,08/05/2016,NULL,0,NULL,0.0,0
raiders!-the-story-of-the-greatest-fan-film-ever-made,70,71916,06/17/2016,27,0,5.6,0.0,0
la-tierra-y-la-sombra,74,NULL,06/17/2016,NULL,0,NULL,0.193548387097,0
dheepan,76,261819,05/06/2016,26,0.37299313405,7.2,0.0823610157859,0
petes-dragon,71,76233151,08/12/2016,3702,0.769876771706,6.8,0.0270426888159,0
the-music-of-strangers,70,NULL,06/10/2016,NULL,0.469385858418,NULL,0.0774193548387,0
the-monster,69,12544,11/11/2016,18,1.47967839649,6.0,0.277352843365,0
glassland,66,NULL,02/12/2016,NULL,0.194660734149,NULL,0.258064516129,0
i-daniel-blake,78,260354,12/23/2016,45,1.29903150658,8.0,2.15030131159,0
funny-or-die-presents-donald-trumps-the-art-of-the-deal-the-movie,75,NULL,02/10/2016,NULL,0,5.5,0,0
the-beatles-eight-days-a-week---the-touring-years,72,2930414,09/16/2016,155,0.0,8.5,0.41935483871,0
arrival,81,100546139,11/11/2016,3115,0.695613680498,8.1,0.187967785705,1
eat-that-question-frank-zappa-in-his-own-words,74,355074,06/24/2016,29,0,6.8,0,0
the-seventh-fire,66,30112,07/22/2016,3,1.64553402996,NULL,0.0286738351254,0
moana,81,248757044,11/23/2016,3875,0.676721481945,7.8,0.119508177097,0
sky-ladder-the-art-of-cai-guo-qiang,73,NULL,10/14/2016,NULL,0,NULL,0.0,0
the-measure-of-a-man,74,112391,04/15/2016,6,-0.0078550481776,7.3,0.0829493087558,0
king-jack,72,NULL,06/10/2016,NULL,-0.160932943359,6.0,0.0387096774194,0
embrace-of-the-serpent,82,1329249,02/17/2016,93,1.76361498915,7.8,0.0916808149406,0
london-road,71,NULL,09/09/2016,NULL,0.715184908665,6.2,0.189430336307,0
fireworks-wednesday,84,90519,03/16/2016,5,0.0,8.2,0.0552995391705,0
10-cloverfield-lane,76,72082998,03/11/2016,3427,0.960210455029,7.7,0.0127436369824,0
nina-forever,75,NULL,02/12/2016,NULL,-0.518866633207,7.6,0.250474383302,0
the-mermaid,69,3232685,02/19/2016,106,8.61975622053,7.1,0.493358633776,0
life-animated,75,255388,07/01/2016,60,0.659245707188,8.6,0.425806451613,0
older-than-ireland,72,NULL,04/29/2016,NULL,0.234350943111,NULL,3.11436950147,0
sunset-song,72,159714,05/13/2016,19,0.668454370077,7.1,0.190029325513,0
the-final-master,72,NULL,06/03/2016,NULL,0.315078769692,7.0,0.014888337469,0
green-room,79,3220371,04/15/2016,777,1.72716015492,7.2,0.272041147202,0
sin-alas,70,NULL,05/04/2016,NULL,0.774193548387,NULL,0.0276497695853,0
long-way-north,70,NULL,09/30/2016,NULL,2.18661664355,NULL,0.408602150538,0
men-go-to-battle,72,18006,07/08/2016,3,0.0851279068296,NULL,0.0248138957816,0
nuts!,82,44230,06/22/2016,7,0.946796242419,NULL,0.953206681117,0
tower,92,101987,10/12/2016,13,0.992688878418,8.1,0.76058767167,0
voyage-of-time-the-imax-experience,77,55409,10/07/2016,15,0,9.2,0,0
paterson,90,2152738,12/28/2016,70,1.07115537869,7.9,0.762116129032,0
deepwater-horizon,68,61433527,09/30/2016,3403,1.08581072221,7.3,0.0815272633805,0
king-georges,71,66175,02/26/2016,10,0.0397231909329,6.8,0.322580645161,0
disorder,66,51879,08/12/2016,8,0.0319883332281,7.2,0.663829787234,0
only-yesterday,90,453243,01/01/2016,44,0.677994067483,8.5,0.338709677419,0
jackie,81,13960394,12/02/2016,508,0.884643359223,7.2,0.829744220796,0
creepy,76,NULL,10/21/2016,NULL,1.02016004025,6.3,0.59928919617,0
audrie-daisy,73,NULL,09/23/2016,NULL,0,5.6,0.387096774194,0
captain-fantastic,72,5879736,07/08/2016,550,1.16843348426,7.8,0.599353704859,0
transpecos,73,NULL,09/09/2016,NULL,0.311159946771,5.2,0.198851082634,0
wiener-dog,66,477453,06/24/2016,73,0.732978217794,5.7,0.318206670312,0
no-home-movie,78,32757,04/01/2016,5,0.0,7.8,0.014888337469,0
aquarius,88,285930,10/14/2016,31,1.23924297832,8.6,0.989295060742,0
the-kind-words,75,135382,06/24/2016,8,0.0,NULL,0.0,0
two-trains-runnin,81,NULL,12/02/2016,NULL,-0.0175953079179,NULL,0.0387096774194,0
silence,79,7100177,12/23/2016,1580,0.899310648445,7.6,1.44901696416,0
national-bird,75,10656,11/11/2016,8,6.87408713295,NULL,0.486992715921,0
toni-erdmann,93,1479387,12/25/2016,112,1.00110778071,7.1,1.34032258065,0
phantom-boy,66,34362,07/15/2016,17,0.747556927788,8.8,0.0595533498759,0
baden-baden,77,NULL,11/25/2016,NULL,0.975661490724,NULL,0.696196437169,0
