movie,critics,boxoffice,rd,theaters,sentiments,user,counts,class
the-dark-horse,77,67533,04/01/2016,10,0.261339198041,6.8,0.120571126388,0
popstar-never-stop-never-stopping,68,9639125,06/03/2016,2313,0.918762547574,7.4,0.0141620771046,0
neither-heaven-nor-earth,72,12810,08/05/2016,3,0.275525303344,NULL,0.0276497695853,0
diamond-tongues,75,NULL,02/19/2016,NULL,0.0,NULL,0.193548387097,0
under-the-sun,81,105036,07/06/2016,6,4.25302328292,6.1,0.341733870968,0
the-meddler,68,4267218,04/22/2016,464,1.43839929869,6.6,0.0611733244192,0
the-rolling-stones-ole-ole-ole!-a-trip-across-latin-america,72,NULL,09/30/2016,NULL,0,NULL,0,0
norman-lear-just-another-version-of-you,66,70950,07/08/2016,6,0.0,NULL,0.0,0
lo-and-behold-reveries-of-the-connected-world,76,594912,08/19/2016,51,0.940322580643,7.4,0.967741935484,0
newtown,87,14109,10/07/2016,3,0.847143657564,7.4,0.745088527771,0
