t2-trainspotting,67,2.402004,03,331,2.82924201568,7.4,0.0180619266055,0
dying-laughing,73,0.0,02,0,0.496132226242,0,0.388888888889,0
spider-man-homecoming,73,334.20114,07,4348,0.531162851373,7.7,0.0077240845131,0
as-you-are,67,0.0,02,0,1.03640804932,0,0.545454545455,0
karl-marx-city,73,0.041072,03,4,0,0,0.0,0
harmonium,84,0.017191,06,4,0.629549040455,8.2,1.25,0
wonderstruck,71,1.060377,10,261,0.382443296046,6.1,0.556179775281,0
the-florida-project,92,5.904366,10,229,0.653374884728,7.1,0.652960526316,0
paint-it-black,71,0.0,05,0,0.685235365433,0,1.95422535211,0
most-beautiful-island,73,0.0,11,0,0.184286576477,0,0.958333333333,0
the-ornithologist,85,0.050511,06,6,0.0,6.0,0.0,0
vince-giordano-theres-a-future-in-the-past,74,0.014807,01,1,0,0,0,0
the-devils-candy,72,0.0,03,0,1.410696037,7.1,0.0611413043478,0
stefan-zweig-farewell-to-europe,75,0.078372,05,4,0,0,0.0,0
frank-serpico,68,0.007489,11,6,1.16978223776,0,0.166666666667,0
our-souls-at-night,69,0.0,09,0,0.533447825027,7.0,0.0309065934066,0
bugs,70,0.003742,09,3,1.65628026075,0,0.992096505824,0
imperial-dreams,67,0.0,02,0,0.160309350504,0,0.195652173913,0
the-lure,72,0.101657,02,7,0.719711538461,7.1,1.35,0
wheelman,66,0.0,10,0,0.800495690619,6.4,0.0722891566265,0
alive-and-kicking,77,0.068485,04,11,0.888143509476,0,0.197368421053,0
geralds-game,77,0.0,09,0,1.52917545511,7.1,0.0226525119617,0
32-pills-my-sisters-suicide,71,0.0,10,0,0,0,0,0
bronx-gothic,66,0.027151,07,4,0.0,0,0.0,0
the-future-perfect,83,0.0,09,0,0,0,0,0
mindhorn,70,0.0,05,0,1.69544868064,7.0,0.0916193181818,0
in-this-corner-of-the-world,73,0.172147,08,20,0.830542129125,8.8,0.113924050633,0
120-beats-per-minute,84,0.125189,10,20,0.406430635838,8.3,0.28125,0
logan,77,226.277068,03,4071,0.856163783568,8.4,0.0110490706049,0
marjorie-prime,82,0.180608,08,12,0.698479758343,7.1,0.0964285714286,0
blade-of-the-immortal,72,0.150532,11,31,1.70748011173,7.0,0.00574583145561,0
god-knows-where-i-am,66,0.021135,03,6,0,0,0.0,0
chasing-trane-the-john-coltrane-documentary,69,0.406284,04,17,0,0,0,0
a-gray-state,74,0.0,11,0,0.488372093023,0,0.75,0
my-happy-family,86,0.0,12,0,2.44314381271,0,0.340909090909,0
miss-kiets-children,83,0.009384,12,2,0.0,0,0.0,0
the-post,83,81.877424,12,2851,0.113006574747,7.0,0.9,1
the-nile-hilton-incident,70,0.081089,08,9,1.2,7.4,1.0,0
gook,69,0.25013,08,27,0.803309995859,5.5,0.229838709677,0
midnight-return-the-story-of-billy-hayes-and-turkey,68,0.0,07,0,0,0,0.0,0
star-wars-episode-viii,85,620.181382,12,4232,2.76132571544,4.6,0.109550561798,0
the-reagan-show,66,0.0055,06,2,4.35483870968,0,0.214285714286,0
jesus,68,0.0,09,0,0.0,0,0.0,0
abundant-acreage-available,68,0.0,09,0,0.482142857143,0,0.1875,0
chavela,68,0.148666,10,14,0.372035651759,0,0.171052631579,0
the-death-and-life-of-marsha-p-johnson,76,0.0,10,0,0.0,0,0.0,0
chuck,68,0.320725,05,120,0.204517399591,7.0,1.74945295405,0
thy-fathers-chair,81,0.0,10,0,0,0,0.0,0
my-entire-high-school-sinking-into-the-sea,72,0.068883,04,25,0.0,6.0,0.0,0
motherland,84,0.0,09,0,1.46488329922,0,0.921428571429,0
menashe,81,1.703036,07,126,0.837762820005,6.2,0.125,0
blood-stripe,70,0.0,09,0,0.196903768408,0,0.0833333333333,0
woodpeckers,68,0.0,09,0,6.45531358887,0,1.75,0
dayveon,69,0.002077,09,3,0.311168811841,0,4.125,0
one-of-us,79,0.0,10,0,1.81534831649,0,0.520220588235,0
thelma,74,0.147391,11,39,1.61893906884,8.1,0.604166666667,0
manifesto,72,0.161101,05,10,1.20831385698,7.8,0.107641196013,0
score-a-film-music-documentary,67,0.101382,06,8,0,6.0,0.75,0
the-disaster-artist,76,21.120616,12,1010,0.443973503559,7.6,0.243987106372,0
truman,81,0.21084,04,22,-0.0610062915041,7.9,0.363636363636,0
the-beguiled,77,10.709995,06,941,1.0332917635,6.2,0.00726872246696,0
sami-blood,79,0.0,06,0,0.68394872776,4.0,0.146739130435,0
i-tonya,77,30.014539,12,1450,0.920904169222,7.8,1.26678932843,0
tickling-giants,78,0.051499,03,17,0.0265446677689,0,0.0970588235294,0
a-dark-song,71,0.0,04,0,0.794684021679,6.7,0.105633802817,0
a-womans-life,74,0.037626,05,4,0.835021865888,0,2.25,0
mr-roosevelt,73,0.0,10,0,5.46604492993,0,0.45,0
food-evolution,72,0.017181,06,3,0.861219758552,0,0.22602739726,0
the-death-of-louis-xiv,76,0.043113,03,6,0,0,0,0
big-sonia,71,0.20341,11,4,-0.178485576923,0,0.75,0
the-lost-city-of-z,78,8.58041,04,866,1.21999521292,6.9,0.0616438356164,0
santoalla,68,0.002684,07,1,0.0,0,0.6,0
the-red-turtle,86,0.921974,01,127,1.21020361473,7.9,0.821428571429,0
strong-island,86,0.0,09,0,1.17046089999,6.8,0.18023255814,0
behemoth,85,0.0,01,0,1.33071134399,5.7,1.32352941176,0
heartstone,70,0.0,09,0,1.20541052269,7.6,1.0375,0
birthright-a-war-story,70,0.007519,07,1,0,0,1.5,0
paris-0559-theo-hugo,74,0.0,01,0,0,6.2,0,0
dina,75,0.090503,10,24,0.525431761178,0,0.929104477612,0
bang!-the-bert-berns-story,79,0.059299,04,5,0,0,0,0
casting-jonbenet,74,0.0,04,0,0.218673604995,7.2,0.00239107332625,0
the-last-dalai-lama,66,0.145524,07,18,0.289562289562,0,0.25,0
jeremiah-tower-the-last-magnificent,68,0.228153,04,33,0,0,0,0
tomorrow,71,0.062511,04,20,1.08112677338,0,0.692602040816,0
hounds-of-love,73,0.0,05,0,0.660756646921,6.8,0.146959459459,0
moka,69,0.129547,06,18,1.97078371559,0,0.229910714286,0
legion-of-brothers,77,0.0,05,0,0.0,0,0.0625,0
