movie,critics,boxoffice,rd,theaters,sentiments,user,counts,class,-1,-1
kedi,78,2.835047,02/10/2017,130,0.719665654157,8.8,0.911035072712,0,-1,-1
trophy,80,0.021439,09/08/2017,21,1.00490014346,0,2.86587301587,0,-1,-1
la-92,66,0.0,04/28/2017,0,4.53032140647,0,0.00185140164195,0,-1,-1
the-killing-of-a-sacred-deer,73,2.291901,10/20/2017,238,1.0987142422,6.8,0.67896389325,0,-1,-1
personal-shopper,77,1.305195,03/10/2017,153,1.02015428458,6.5,0.326095072175,0,-1,-1
joshua-teenager-vs-superpower,72,0.0,05/26/2017,0,0,0,0.0,0,-1,-1
good-time,80,2.026499,08/11/2017,721,0.974228402043,7.4,0.586208834439,0,-1,-1
ma,67,0.0,01/13/2017,0,1.08685066349,0,0.905016133764,0,-1,-1
the-breadwinner,76,0.312381,11/17/2017,43,0.608196583359,8.2,0.318424566088,0,-1,-1
the-freedom-to-marry,67,0.016611,03/03/2017,3,0.0,0,0.0,0,-1,-1
the-farthest,87,0.014773,08/11/2017,2,0.366641766743,7.3,0.133204633205,0,-1,-1
napping-princess,69,0.048198,09/08/2017,22,-0.693706293706,4.3,0.0803571428571,0,-1,-1
natasha,76,0.008325,04/28/2017,1,0.721930255108,0,0.618045112782,0,-1,-1
t2-trainspotting,67,2.402004,03/17/2017,331,1.69474095074,7.4,0.0270314547837,0,-1,-1
dying-laughing,73,0.0,02/24/2017,0,0.561011753907,0,0.309523809524,0,-1,-1
spider-man-homecoming,73,334.20114,07/07/2017,4348,0.704756206052,7.7,0.00828656261334,0,-1,-1
as-you-are,67,0.0,02/24/2017,0,1.17779695337,0,0.584415584416,0,-1,-1
karl-marx-city,73,0.041072,03/29/2017,4,0,0,0.142857142857,0,-1,-1
harmonium,84,0.017191,06/16/2017,4,0.435932034317,8.2,0.971428571429,0,-1,-1
wonderstruck,71,1.060377,10/20/2017,261,0.615169642039,6.1,0.508025682183,0,-1,-1
the-florida-project,92,5.904366,10/06/2017,229,0.766516092948,7.1,0.864191729323,0,5,-1
paint-it-black,71,0.0,05/19/2017,0,1.71385014248,0,1.08350100604,0,-1,-1
most-beautiful-island,73,0.0,11/03/2017,0,0.263794893173,0,1.04761904762,0,-1,-1
the-ornithologist,85,0.050511,06/23/2017,6,0.0,6.0,0.0,0,-1,-1
vince-giordano-theres-a-future-in-the-past,74,0.014807,01/13/2017,1,0,0,0,0,-1,-1
the-devils-candy,72,0.0,03/17/2017,0,1.09687918494,7.1,0.047748447205,0,-1,-1
stefan-zweig-farewell-to-europe,75,0.078372,05/12/2017,4,0,0,0.0,0,-1,-1
frank-serpico,68,0.007489,11/01/2017,6,0.870668383561,0,0.154761904762,0,-1,-1
our-souls-at-night,69,0.0,09/29/2017,0,0.603675321031,7.0,0.0382653061224,0,-1,-1
bugs,70,0.003742,09/27/2017,3,1.33644751582,0,0.810791537913,0,-1,-1
imperial-dreams,67,0.0,02/03/2017,0,0.306489495014,0,0.223602484472,0,-1,-1
the-lure,72,0.101657,02/01/2017,7,0.505823492834,7.1,1.37142857143,0,-1,-1
wheelman,66,0.0,10/20/2017,0,1.07416280547,6.4,0.0961703958692,0,-1,-1
alive-and-kicking,77,0.068485,04/07/2017,11,0.623420622809,0,0.203007518797,0,-1,-1
geralds-game,77,0.0,09/29/2017,0,1.38163882388,7.1,0.0260167464115,0,-1,-1
32-pills-my-sisters-suicide,71,0.0,10/20/2017,0,0,0,0,0,-1,-1
bronx-gothic,66,0.027151,07/12/2017,4,0.0537041349698,0,0.0204081632653,0,-1,-1
the-future-perfect,83,0.0,09/15/2017,0,0,0,0,0,-1,-1
mindhorn,70,0.0,05/12/2017,0,1.70815195012,7.0,0.0657467532468,0,-1,-1
in-this-corner-of-the-world,73,0.172147,08/11/2017,20,0.914299547833,8.8,0.135623869801,0,-1,-1
120-beats-per-minute,84,0.125189,10/20/2017,20,0.375339153002,8.3,0.348214285714,0,-1,-1
logan-2017,77,226.277068,03/03/2017,4071,0.967141131424,8.4,0.0164235568004,0,-1,-1
