movie,critics,boxoffice,rd,theaters,sentiments,user,counts,class,-1,-1
only-yesterday,90,453243,01/01/2016,44,0.677994067483,8.5,0.338709677419,0,-1,-1
jackie,81,13960394,12/02/2016,508,0.884643359223,7.2,0.829744220796,0,-1,-1
creepy,76,NULL,10/21/2016,NULL,1.02016004025,6.3,0.59928919617,0,-1,-1
audrie-daisy,73,NULL,09/23/2016,NULL,0,5.6,0.387096774194,0,-1,-1
captain-fantastic,72,5879736,07/08/2016,550,1.16843348426,7.8,0.599353704859,0,-1,-1
transpecos,73,NULL,09/09/2016,NULL,0.311159946771,5.2,0.198851082634,0,-1,-1
wiener-dog,66,477453,06/24/2016,73,0.732978217794,5.7,0.318206670312,0,-1,-1
no-home-movie,78,32757,04/01/2016,5,0.0,7.8,0.014888337469,0,-1,-1
aquarius,88,285930,10/14/2016,31,1.23924297832,8.6,0.989295060742,0,-1,-1
the-kind-words,75,135382,06/24/2016,8,0.0,NULL,0.0,0,-1,-1
two-trains-runnin,81,NULL,12/02/2016,NULL,-0.0175953079179,NULL,0.0387096774194,0,-1,-1
silence,79,7100177,12/23/2016,1580,0.899310648445,7.6,1.44901696416,0,-1,-1
national-bird,75,10656,11/11/2016,8,6.87408713295,NULL,0.486992715921,0,-1,-1
toni-erdmann,93,1479387,12/25/2016,112,1.00110778071,7.1,1.34032258065,0,-1,-1
phantom-boy,66,34362,07/15/2016,17,0.747556927788,8.8,0.0595533498759,0,-1,-1
baden-baden,77,NULL,11/25/2016,NULL,0.975661490724,NULL,0.696196437169,0,-1,-1
cosmos,72,25269,06/17/2016,2,1.05319881365,NULL,2.98546523666,0,-1,-1
notes-on-blindness,75,NULL,11/16/2016,NULL,0.663127625718,NULL,0.197666437886,0,-1,-1
miss-hokusai,74,222670,10/14/2016,84,0.240950816046,7.4,0.129819040126,0,-1,-1
indian-point,68,7251,07/08/2016,2,0.19716686136,NULL,3.42943548387,0,-1,-1
certain-women,82,1087585,10/14/2016,138,1.09873909813,6.0,0.066705971532,0,-1,-1
tanna,75,46654,09/16/2016,10,0.317850325593,7.0,0.310850439883,0,-1,-1
neruda,82,939101,12/16/2016,46,0.602147333639,7.3,1.09274193548,0,-1,-1
the-uncondemned,80,14393,10/21/2016,2,1.29903133569,NULL,0.102150537634,0,-1,-1
eva-hesse,69,157481,04/27/2016,7,0.502175426197,NULL,0.303400174368,0,-1,-1
three-2016,71,119550,06/24/2016,23,0.916954634393,7.0,0.532151719248,0,-1,-1
til-madness-do-us-part,70,NULL,06/09/2016,NULL,0,NULL,0.0,0,-1,-1
chronic,69,9033,09/23/2016,7,0.750439716039,6.3,1.02952433024,0,-1,-1
kaili-blues,85,27477,05/20/2016,4,3.65443357687,7.4,0.532258064516,0,-1,-1
the-idol,66,NULL,05/27/2016,NULL,0.0455528008389,NULL,0.0354838709677,0,-1,-1
the-jungle-book-2016,77,364001123,04/15/2016,4144,0.70310846443,7.5,0.0118981372588,0,-1,-1
amanda-knox,78,NULL,09/30/2016,NULL,2.32126728809,7.1,0.0374215998541,0,-1,-1
abortion-stories-women-tell,78,NULL,08/12/2016,NULL,0,NULL,0,0,-1,-1
equity,68,1605463,07/29/2016,255,0.849597367484,6.2,0.691508897375,0,-1,-1
hell-or-high-water,88,27007844,08/12/2016,1505,1.17905337716,8.2,0.577003121748,1,5,5
fort-buchanan,77,NULL,02/05/2016,NULL,0,NULL,0.0,0,-1,-1
krisha,86,144822,03/18/2016,26,0.918634494101,8.0,0.167931688805,0,-1,-1
cameraperson,86,102033,09/09/2016,7,0.610758139273,6.7,0.305602716469,0,-1,-1
almost-holy,73,21142,05/20/2016,10,0.0500764020706,NULL,0.0252454417952,0,-1,-1
author-the-jt-leroy-story,72,85999,09/09/2016,27,-0.0744416873449,NULL,0.387096774194,0,-1,-1
a-space-program,72,13739,03/18/2016,1,0.322580645161,NULL,0.387096774194,0,-1,-1
the-bad-kids,75,6226,12/16/2016,6,0.167677740331,NULL,0.177419354839,0,-1,-1
starving-the-beast,77,NULL,09/02/2016,NULL,0.0399286239836,NULL,0.0241935483871,0,-1,-1
boom-bust-boom,68,6896,03/11/2016,1,0.230828501637,NULL,0.0677419354839,0,-1,-1
miss-sharon-jones!,77,120880,07/29/2016,12,0.973469062878,NULL,0.258841818888,0,-1,-1
barry,72,NULL,12/16/2016,NULL,0.736273620215,5.1,0.237740634755,0,-1,-1
chevalier,76,25696,05/27/2016,7,1.7024349569,NULL,0.663822980539,0,-1,-1
being-17,83,52713,10/07/2016,7,-0.0128151218438,8.5,0.0181451612903,0,-1,-1
on-the-silver-globe-1988,72,NULL,07/29/2016,NULL,0.0,NULL,0.0,0,-1,-1
princess,85,NULL,05/27/2016,NULL,1.03867777413,NULL,1.2267010889,0,-1,-1
sand-storm,74,86800,09/28/2016,6,1.28945380651,6.0,0.689330024814,0,-1,-1
kill-zone-2,73,11998,05/13/2016,13,0.328238049744,6.4,0.110599078341,0,-1,-1
mapplethorpe-look-at-the-pictures,75,NULL,03/25/2016,NULL,0,NULL,0.0,0,-1,-1
summertime,72,35322,07/22/2016,6,0.805921403862,NULL,0.0837398515845,0,-1,-1
fastball,74,NULL,03/25/2016,NULL,0.341137237197,5.8,0.162442396313,0,-1,-1
the-wave,68,177404,03/04/2016,37,1.25677177048,6.6,0.450811460629,0,-1,-1
hunt-for-the-wilderpeople,81,5205468,06/24/2016,200,1.31300299218,7.9,1.10566421133,0,-1,-1
homo-sapiens,84,NULL,07/29/2016,NULL,0.889751066298,NULL,1.3935483871,0,-1,-1
theo-who-lived,71,11271,09/30/2016,2,0,NULL,1.35483870968,0,-1,-1
i-am-not-your-negro,95,7123919,12/09/2016,320,0.564119500438,5.4,2.97122929381,0,-1,-1
belladonna-of-sadness,70,NULL,05/06/2016,NULL,0.360604781422,8.5,0.0936524453694,0,-1,-1
trapped-2016,77,63241,03/04/2016,8,2.0760590439,NULL,0.18189044181,0,-1,-1
rabin-in-his-own-words,69,NULL,05/06/2016,NULL,0.0,NULL,0.0,0,-1,-1
mountains-may-depart,79,82913,02/12/2016,12,3.62551862455,7.2,0.0860215053763,0,-1,-1
little-sister,74,NULL,10/14/2016,NULL,0.943144576609,6.1,0.717357910906,0,-1,-1
best-worst-thing-that-ever-could-have-happened,81,106986,11/18/2016,7,1.5202346041,NULL,0.387096774194,0,-1,-1
the-love-witch,82,228894,11/11/2016,22,1.49954691412,6.3,0.303130929791,0,-1,-1
dont-blink---robert-frank,75,76134,07/13/2016,4,0.0,NULL,0.0,0,-1,-1
the-illinois-parables,73,NULL,11/16/2016,NULL,0,NULL,0.0,0,-1,-1
