off-the-rails,80,0.034249,11,3,1.49289568228,0,0.45,0
the-apostate,66,0.0,09,0,0,0,0.0,0
among-the-believers,74,0.004189,09,1,-0.128542047532,0,0.06,0
marguerite,76,0.497323,03,46,-0.099815464397,6.6,0.10775862069,0
becoming-mike-nichols,69,0.0,02,0,0.0,0,0.0,0
always-shine,72,0.017102,11,15,0.226250244382,6.2,0.107142857143,0
my-big-night,74,0.0,04,0,0.0,0,0.0,0
under-the-gun,72,0.0,05,0,0.865546028038,4.6,0.00513196480938,0
chicken-people,81,0.0,09,0,3.18286913639,0,0.0535714285714,0
above-and-below,77,0.0,04,0,0.576956852643,0,0.441176470588,0
cash-only,71,0.0,05,0,0.235130947982,0,1.11538461538,0
my-love-dont-cross-that-river,68,0.088018,06,6,0.0,0,0.0,0
dont-think-twice,83,4.417667,07,175,0.639929258169,7.1,0.0677570093458,0
the-edge-of-seventeen,77,14.431633,11,1945,0.773690508328,7.7,0.0588662790698,0
a-stray,82,0.0,10,0,0.44547624538,0,0.321428571429,0
a-monster-with-a-thousand-heads,71,0.024852,05,5,0.0,8.4,0.0,0
disturbing-the-peace,81,0.025287,11,2,0.392216117216,0,0.642857142857,0
the-club,73,0.052761,02,14,0.828534692405,7.7,3.3417721519,0
gleason,80,0.583664,07,148,1.442558622,8.5,0.310975609756,0
the-thoughts-that-once-we-had,79,0.0,06,0,0,0,0,0
neon-bull,80,0.026734,04,4,0.0,7.9,0.0220588235294,0
the-birth-of-sake,69,0.0,03,0,0.0,0,0.0,0
floyd-norman-an-animated-life,68,0.0,08,0,0.642857142857,0,0.1875,0
by-sidney-lumet,66,0.0,10,0,0,0,0,0
the-nice-guys,70,36.261763,05,2865,1.46277768936,7.6,0.0170846755637,0
the-president,67,0.007578,06,1,0.246475680823,0,2.79545454545,0
a-bigger-splash,74,2.024099,05,378,-0.31169421894,6.8,0.030487804878,0
rabin-the-last-day,66,0.028411,01,5,0,0,0,0
notfilm,81,0.0,04,0,0.0847494559983,0,0.107142857143,0
mavis!,71,0.0,02,0,0.215460530142,0,0.331081081081,0
one-more-time-with-feeling,92,0.0,09,0,2.14459649352e-17,8.5,0.00374064837905,0
gimme-danger,72,0.440627,10,71,1.10096067445,9.2,0.225,0
land-of-mine,75,0.435266,12,40,0.315278427702,7.8,0.6375,0
tale-of-tales,72,0.118925,04,15,0.732575675232,6.4,0.107142857143,0
it-had-to-be-you,68,0.007162,10,2,-0.0,8.3,0.160714285714,0
argentina,66,0.014869,06,3,0.778486163342,0,0.266185369213,0
the-witness,79,0.159305,06,15,2.79130587198,7.8,0.735294117647,0
a-man-called-ove,70,3.479315,09,194,1.37482977915,7.4,0.531818181818,0
i-dont-belong-anywhere-the-cinema-of-chantal-akerman,70,0.007703,03,3,0,0,0,0
blue-jay,69,0.021626,10,3,1.70563090057,7.9,0.380053908356,0
when-two-worlds-collide,71,0.01208,08,1,0.0,0,0.025,0
tickled,76,0.613956,06,53,2.33317531615,7.3,0.255102040816,0
13th,90,0.0,10,0,1.18737264781,7.9,0.0585810076115,0
the-wailing,81,0.786633,06,35,2.34530729327,7.9,0.769230769231,0
